iter	Passed	Remaining
0	140	140569
1	143	71598
2	146	48529
3	148	37030
4	151	30187
5	155	25723
6	158	22470
7	161	19964
8	164	18156
9	170	16920
10	174	15711
11	177	14574
12	179	13665
13	182	12869
14	185	12197
15	187	11502
16	188	10904
17	189	10361
18	191	9872
19	192	9428
20	193	9023
21	195	8694
22	197	8393
23	198	8085
24	200	7803
25	201	7535
26	202	7287
27	203	7053
28	204	6836
29	205	6637
30	207	6488
31	208	6318
32	211	6189
33	213	6054
34	214	5921
35	216	5789
36	217	5658
37	218	5530
38	219	5411
39	220	5300
40	221	5191
41	224	5126
42	226	5034
43	227	4941
44	229	4865
45	230	4782
46	231	4697
47	232	4612
48	233	4531
49	234	4456
50	235	4389
51	236	4317
52	237	4251
53	239	4201
54	241	4148
55	242	4092
56	243	4036
57	245	3984
58	246	3928
59	247	3875
60	248	3823
61	249	3771
62	250	3723
63	251	3676
64	253	3642
65	254	3606
66	256	3566
67	257	3527
68	258	3492
69	260	3455
70	261	3418
71	262	3380
72	263	3343
73	264	3311
74	265	3278
75	266	3243
76	269	3225
77	270	3194
78	271	3166
79	272	3137
80	274	3110
81	275	3082
82	275	3048
83	277	3021
84	278	2993
85	278	2963
86	279	2938
87	281	2912
88	283	2896
89	284	2876
90	286	2857
91	288	2845
92	289	2828
93	291	2807
94	292	2787
95	293	2765
96	294	2745
97	295	2722
98	297	2705
99	298	2685
100	299	2664
101	300	2646
102	302	2633
103	303	2616
104	304	2599
105	306	2582
106	307	2564
107	308	2548
108	309	2531
109	310	2514
110	312	2502
111	313	2485
112	315	2473
113	317	2466
114	319	2461
115	321	2449
116	322	2436
117	325	2429
118	326	2419
119	328	2407
120	329	2395
121	330	2380
122	332	2369
123	333	2356
124	334	2342
125	335	2328
126	336	2313
127	337	2300
128	338	2286
129	339	2274
130	341	2262
131	342	2255
132	344	2245
133	345	2233
134	346	2221
135	347	2208
136	348	2196
137	349	2184
138	350	2171
139	351	2159
140	352	2146
141	353	2133
142	354	2122
143	355	2112
144	356	2104
145	358	2094
146	359	2084
147	360	2075
148	361	2064
149	362	2055
150	363	2045
151	364	2036
152	365	2025
153	366	2015
154	367	2005
155	368	1994
156	369	1984
157	371	1981
158	373	1973
159	374	1965
160	375	1954
161	376	1945
162	377	1936
163	378	1928
164	379	1919
165	380	1910
166	381	1901
167	382	1893
168	383	1886
169	384	1878
170	386	1873
171	387	1867
172	388	1859
173	389	1851
174	391	1843
175	392	1837
176	394	1832
177	395	1824
178	396	1816
179	397	1809
180	398	1802
181	400	1797
182	401	1792
183	402	1786
184	403	1779
185	404	1771
186	405	1763
187	406	1756
188	407	1750
189	408	1743
190	409	1736
191	410	1728
192	412	1725
193	413	1719
194	415	1715
195	416	1710
196	418	1704
197	419	1698
